LAT,LONG,TIPOLOGIA__Bosco,TIPOLOGIA__Canneto,TIPOLOGIA__Macchia,CODICE COL__Arancione,CODICE COL__Bianco,CODICE COL__Giallo,CODICE COL__Rosso,CODICE COL__Verde,ANNO,MESE
40.772639,16.478556,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0
40.835194,17.114583,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0
40.801694,17.201917,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0
41.069139,16.792028,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0
40.878583,16.774444,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,6.0
41.040306,16.375278,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
41.039167,16.365556,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
41.020972,17.098917,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.755,16.493333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.844444,16.838611,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.88575,16.758083,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
41.111694,16.793833,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
41.126389,16.775,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.891028,16.571167,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.931167,16.631806,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.822972,16.414306,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.859,16.768944,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.798861,16.435917,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.756806,16.708,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
41.035556,16.459722,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.8575,16.796667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.767306,16.755694,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.838333,16.772972,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.845556,16.955,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021.0,7.0
40.858917,16.61225,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.911389,16.624444,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.806389,16.390028,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021.0,7.0
40.793972,16.725611,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
41.0125,16.443333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.914306,16.796222,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.773389,16.411722,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
41.041417,16.373056,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.693889,16.820556,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.972917,16.991194,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.867778,16.769722,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.738889,16.840556,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,7.0
40.745417,16.842139,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
40.822833,16.412139,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
40.910861,16.766,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
41.007111,17.117028,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
40.846389,16.927333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
40.993167,16.504278,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
40.916389,16.7875,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
40.873639,16.817028,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
40.92075,16.796417,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
40.76275,17.379944,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
40.815333,16.849056,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
40.851667,16.84,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
40.757639,16.477833,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
40.90975,16.767083,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
40.853306,16.960972,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021.0,8.0
40.720778,16.415389,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021.0,8.0
41.067806,16.791944,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
40.811111,16.560278,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
40.791944,16.500278,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
41.029722,16.363611,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
41.070556,16.811389,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
40.751389,16.924722,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
41.062222,16.756667,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,8.0
40.847222,16.360611,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021.0,8.0
40.76925,16.353139,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021.0,9.0
40.770611,16.438806,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021.0,9.0
40.737778,16.452222,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021.0,9.0
40.786389,16.3975,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021.0,9.0
40.871417,16.817944,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,9.0
40.791667,16.389167,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021.0,9.0
40.981417,16.496194,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0,10.0
41.13675,16.804917,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2020.0,6.0
40.932,16.676528,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2020.0,6.0
